ABLAGEDIVERS.LNR  INTEGER
ABLAGEDIVERS.WAS  INTEGER
ABLAGEDIVERS.ADR_LNR  INTEGER
ABLAGEDIVERS.GK_LNR  INTEGER
ABLAGEDIVERS.LEIST_LNR  INTEGER
ABLAGEDIVERS.ME  INTEGER
ABLAGEDIVERS.BEZEICHN  VARCHAR(255)
ABLAGEDIVERS.BETRAG  BIGINT
ABLAGEDIVERS.DATUM  DATE
ABLAGEDIVERS.ERF_DATUM  TIMESTAMP
ABLAGEDIVERS.TA_STATUS  INTEGER
ABSCHLUESSE.LNR  INTEGER
ABSCHLUESSE.ABS_ZAEHLER  INTEGER
ABSCHLUESSE.PROC_MODUL  INTEGER
ABSCHLUESSE.DATUM_ZEIT  TIMESTAMP
ABSCHLUESSE.USERID  INTEGER
ADRESSEN.LNR  INTEGER
ADRESSEN.ADR_WAHL  SMALLINT
ADRESSEN.ANREDE  VARCHAR(30)
ADRESSEN.TITEL  VARCHAR(30)
ADRESSEN.NAME1  VARCHAR(60)
ADRESSEN.NAME2  VARCHAR(60)
ADRESSEN.STRASSE  VARCHAR(60)
ADRESSEN.LANDKENN  VARCHAR(10)
ADRESSEN.LAND  VARCHAR(5)
ADRESSEN.PLZ  VARCHAR(10)
ADRESSEN.ORT  VARCHAR(50)
ADRESSEN.SPRACHE  INTEGER
ADRESSEN.TELE1  VARCHAR(30)
ADRESSEN.TELE2  VARCHAR(30)
ADRESSEN.TELE3  VARCHAR(30)
ADRESSEN.TELEFAX  VARCHAR(30)
ADRESSEN.GEBDAT  DATE
ADRESSEN.BERUF  VARCHAR(30)
ADRESSEN.DUSIE  VARCHAR(2)
ADRESSEN.ANREDEBRF  VARCHAR(80)
ADRESSEN.KFZ_KENNZ  VARCHAR(20)
ADRESSEN.ID_NR  VARCHAR(20)
ADRESSEN.ST_ANGEH  VARCHAR(20)
ADRESSEN.HG_BEHIN  SMALLINT
ADRESSEN.ANREDE_B  VARCHAR(30)
ADRESSEN.BEGLEIT  VARCHAR(60)
ADRESSEN.BEGLEIT_V  VARCHAR(60)
ADRESSEN.BEGLEIT_G  DATE
ADRESSEN.B_STRASSE  VARCHAR(50)
ADRESSEN.B_LAND  VARCHAR(3)
ADRESSEN.B_PLZ  VARCHAR(10)
ADRESSEN.B_ORT  VARCHAR(50)
ADRESSEN.B_BEHIN  SMALLINT
ADRESSEN.K1  VARCHAR(60)
ADRESSEN.K1_GEB  DATE
ADRESSEN.K1_BEHIN  SMALLINT
ADRESSEN.K2  VARCHAR(60)
ADRESSEN.K2_GEB  DATE
ADRESSEN.K2_BEHIN  SMALLINT
ADRESSEN.K3  VARCHAR(60)
ADRESSEN.K3_GEB  DATE
ADRESSEN.K3_BEHIN  SMALLINT
ADRESSEN.K4  VARCHAR(60)
ADRESSEN.K4_GEB  DATE
ADRESSEN.K4_BEHIN  SMALLINT
ADRESSEN.BUCHERL  SMALLINT
ADRESSEN.EXTRA  VARCHAR(20)
ADRESSEN.GASTNR  INTEGER
ADRESSEN.FABINDNR  INTEGER
ADRESSEN.LFD_HIST  INTEGER
ADRESSEN.LFD_HISTZ  INTEGER
ADRESSEN.BEMERK  BLOB
ADRESSEN.KARTENR1  VARCHAR(20)
ADRESSEN.KARTENR2  VARCHAR(20)
ADRESSEN.KARTENR3  VARCHAR(20)
ADRESSEN.KARTENR4  VARCHAR(20)
ADRESSEN.KARTENR5  VARCHAR(20)
ADRESSEN.GAST_GR  INTEGER
ADRESSEN.ZUSATZ1  VARCHAR(100)
ADRESSEN.ZUSATZ2  VARCHAR(100)
ADRESSEN.ZUSATZ3  VARCHAR(100)
ADRESSEN.ZUSATZ4  VARCHAR(100)
ADRESSEN.E_MAIL  VARCHAR(100)
ADRESSEN.INTERNETADR  VARCHAR(100)
ADRESSEN.FARBE  INTEGER
ADRESSEN.NEBENA_NR  INTEGER
ADRESSEN.PR_CODE  SMALLINT
ADRESSEN.NAMENZUS  VARCHAR(60)
ADRESSEN.KONTAKDAT  DATE
ADRESSEN.MATCHCODE  VARCHAR(60)
ADRESSEN.LOGI_OK  SMALLINT
ADRESSEN.KURT_OK  SMALLINT
ADRESSEN.LOGI_BETRAG  BIGINT
ADRESSEN.RABATT  INTEGER
ADRESSEN.BANK  VARCHAR(30)
ADRESSEN.BLZ  VARCHAR(10)
ADRESSEN.KONTONR  VARCHAR(20)
ADRESSEN.SUCHNAME  VARCHAR(50)
ADRESSEN.ERF_DATUM  DATE
ADRESSEN.ERF_USERID  INTEGER
ADRESSEN.ERF_ZEIT  TIME
ADRESSEN.KOR_DATUM  DATE
ADRESSEN.KOR_ZEIT  TIME
ADRESSEN.KOR_USERID  INTEGER
ADRESSEN.TA_STATUS  INTEGER
ADRESSEN.WUNSCH_ZI  VARCHAR(10)
ADRESSEN.KREDITKARTE  VARCHAR(20)
ADRESSEN.KREDITNR  VARCHAR(20)
ADRESSEN.KREDITGEH  VARCHAR(10)
ADRESSEN.KREDITGUEL  VARCHAR(10)
ADRESSEN.TISCH  VARCHAR(10)
ADRESSEN.ANSPRECHP_LNR  INTEGER
ADRESSEN.DEBI_NR  INTEGER
ADRESSEN.EXTERN_DOKU_PFAD  VARCHAR(200)
ADRESSEN.KREDITK_INH  VARCHAR(30)
ADRESSEN.BANK_ORT  VARCHAR(50)
ADRESSEN.IBAN  VARCHAR(30)
ADRESSEN.SWIFT  VARCHAR(30)
ADRESSEN.ANREDEBRF_B  VARCHAR(60)
ADRESSEN.NEWSLETTER  SMALLINT
ADRESSEN.K5  VARCHAR(60)
ADRESSEN.K5_GEB  DATE
ADRESSEN.K5_BEHIN  SMALLINT
ADRESSEN.K1_NNAME  VARCHAR(60)
ADRESSEN.K2_NNAME  VARCHAR(60)
ADRESSEN.K3_NNAME  VARCHAR(60)
ADRESSEN.K4_NNAME  VARCHAR(60)
ADRESSEN.K5_NNAME  VARCHAR(60)
ADRESSEN.ANREDEBRF_K1  VARCHAR(60)
ADRESSEN.ANREDEBRF_K2  VARCHAR(60)
ADRESSEN.ANREDEBRF_K3  VARCHAR(60)
ADRESSEN.ANREDEBRF_K4  VARCHAR(60)
ADRESSEN.ANREDEBRF_K5  VARCHAR(60)
ADRESSEN.PROV_PROZ  BIGINT
ADRESSEN.PASSWORT  VARCHAR(50)
ADRESSEN.TELE1_NR  VARCHAR(20)
ADRESSEN.TELE2_NR  VARCHAR(20)
ADRESSEN.TELE3_NR  VARCHAR(20)
ADRESSEN.MITGL_NR  VARCHAR(20)
ADRESSEN.MITGL_EINTRITT  DATE
ADRESSEN.MITGL_AUSTRITT  DATE
ADRESSEN.STEUERNUMMER  VARCHAR(30)
ADRESSEN.ID_NR_AUSGESTELLT  VARCHAR(10)
ADRESSEN.GESCHLECHT  VARCHAR(1)
ADRESSEN.DS_VORGENOMMEN  INTEGER
ADRESSEN.HOCHZEITSTAG  DATE
ADRESSEN.TEXTE_LNR1  INTEGER
ADRESSEN.TEXTE_LNR2  INTEGER
ADRESSEN.BEMERK2  VARCHAR(2048)
ADRESSEN.DS_VERSION  INTEGER
ADRESSEN.BEGL_TELE  VARCHAR(30)
ADRESSEN.K1_TELE  VARCHAR(30)
ADRESSEN.K2_TELE  VARCHAR(30)
ADRESSEN.K3_TELE  VARCHAR(30)
ADRESSEN.K4_TELE  VARCHAR(30)
ADRESSEN.K5_TELE  VARCHAR(30)
ADRESSEN.ID_NR_BEGL  VARCHAR(20)
ADRESSEN.ID_NR_K1  VARCHAR(20)
ADRESSEN.ID_NR_K2  VARCHAR(20)
ADRESSEN.ID_NR_K3  VARCHAR(20)
ADRESSEN.ID_NR_K4  VARCHAR(20)
ADRESSEN.ID_NR_K5  VARCHAR(20)
ADRESSEN_ALTER_KREIS.LNR  INTEGER
ADRESSEN_ALTER_KREIS.MAND_NR  INTEGER
ADRESSEN_ALTER_KREIS.VON_ALTER  INTEGER
ADRESSEN_ALTER_KREIS.BIS_ALTER  INTEGER
ADRESSEN_ALTER_KREIS.ALTER_KREIS  INTEGER
ADRESSEN_ALTER_KREIS.TA_STATUS  INTEGER
ADRESSEN_ALTER_KREIS.ERF_DATUM  DATE
ADRESSEN_ALTER_KREIS.ERF_USERID  INTEGER
ADRESSEN_ALTER_KREIS.KOR_DATUM  DATE
ADRESSEN_ALTER_KREIS.KOR_ZEIT  TIME
ADRESSEN_ALTER_KREIS.KOR_USERID  INTEGER
ADRESSEN_ALTER_KREIS.ERF_ZEIT  TIME
ADRESSEN_ALTER_KREIS.EINTEILUNG_GK  INTEGER
ADRESSEN_ALTER_KREIS.OBJEKT_LNR  INTEGER
ADRESSEN_ALTER_KREIS.AGE_CODE  VARCHAR(10)
ADR_ADDON.LNR  INTEGER
ADR_ADDON.ADR_LNR  INTEGER
ADR_ADDON.AUFPERS  INTEGER
ADR_ADDON.TA_STATUS  INTEGER
ADR_ADDON.MODUL_WAHL  INTEGER
ADR_ADDON.VERBUND_LNR  INTEGER
ADR_ADDON.DELETE_OPTION  INTEGER
ADR_ADDON.ERF_DATUMZEIT  TIMESTAMP
ADR_AUSWAHL.LNR  INTEGER
ADR_AUSWAHL.ADR_WAHL  SMALLINT
ADR_AUSWAHL.BEZEICHN  VARCHAR(30)
ADR_AUSWAHL.ERF_DATUM  DATE
ADR_AUSWAHL.ERF_ZEIT  TIME
ADR_AUSWAHL.ERF_USERID  INTEGER
ADR_AUSWAHL.KOR_DATUM  DATE
ADR_AUSWAHL.KOR_ZEIT  TIME
ADR_AUSWAHL.KOR_USERID  INTEGER
ADR_AUSWAHL.TA_STATUS  INTEGER
ADR_AUSWAHL.FARBE  INTEGER
ADR_AUSWAHL.RE_RPT  VARCHAR(30)
ADR_AUSWAHL.SORT_NR  INTEGER
ADR_AUSWAHL.RECHFORMULAR_BEZ  VARCHAR(50)
ADR_AUSWAHL.MEMO  BLOB
ADR_AUSWAHL.ADR_INTERFACE_FREIGABE  INTEGER
ADR_AUSWAHL.ONLINETOOLS_NICHT_AKTIV  INTEGER
ADR_AUSWAHL.DEFAULT_INTERN  INTEGER
ADR_DATENSCHUTZ.LNR  INTEGER
ADR_DATENSCHUTZ.ADR_LNR  INTEGER
ADR_DATENSCHUTZ.DATENSCHUTZSTAM_LNR  INTEGER
ADR_DATENSCHUTZ.ERF_DATUMZEIT  TIMESTAMP
ADR_DATENSCHUTZ.ERF_USERID  INTEGER
ADR_DATENSCHUTZ.TA_STATUS  INTEGER
ADR_MAIL.LNR  INTEGER
ADR_MAIL.ADR_LNR  INTEGER
ADR_MAIL.AUFPERS  INTEGER
ADR_MAIL.MAIL  VARCHAR(100)
ADR_NACHRICHT.LNR  INTEGER
ADR_NACHRICHT.ADR_LNR  INTEGER
ADR_NACHRICHT.TEXT  VARCHAR(512)
ADR_NACHRICHT.ERF_DZ  TIMESTAMP
ADR_NACHRICHT.NACHRICHT_TYP  INTEGER
ADR_NACHRICHT.TA_STATUS  INTEGER
ADR_SELE.LNR  INTEGER
ADR_SELE.MAND_NR  INTEGER
ADR_SELE.ADR_LNR  INTEGER
ADR_SELE.SELE_LNR  INTEGER
ADR_SELE.ERF_DATUM  DATE
ADR_SELE.ERF_USERID  INTEGER
ADR_SELE.KOR_DATE  DATE
ADR_SELE.KOR_ZEIT  TIME
ADR_SELE.KOR_USERID  INTEGER
ADR_SELE.TA_STATUS  INTEGER
ADR_SELE.ERF_ZEIT  TIME
ADR_TELETAPI.LNR  INTEGER
ADR_TELETAPI.ADR_LNR  INTEGER
ADR_TELETAPI.AUSWAHL  INTEGER
ADR_TELETAPI.TELENR  VARCHAR(30)
ADR_TELETAPI.TA_STATUS  INTEGER
ADR_TELE_PROT.LNR  INTEGER
ADR_TELE_PROT.ADR_LNR  INTEGER
ADR_TELE_PROT.DATUM  TIMESTAMP
ADR_TELE_PROT.AN_AB_GEHEND  INTEGER
ADR_TELE_PROT.USER_ID  INTEGER
ADR_TELE_PROT.NEBENSTELLE  INTEGER
ADR_TELE_PROT.RUFNUMMER  VARCHAR(30)
ADR_VERKN.LNR  INTEGER
ADR_VERKN.ADR_LNR  INTEGER
ADR_VERKN.ADR_VERK  INTEGER
ADR_VERKN.KART_VERK_LNR  INTEGER
ADR_VERKN.ERF_ZEIT  TIMESTAMP
ADR_VERKN.ERF_USERID  INTEGER
ADR_VERKN.TA_STATUS  INTEGER
ADR_VERKN.ERF_DATUM  DATE
ADR_WEITERE_BEGL.LNR  INTEGER
ADR_WEITERE_BEGL.ADR_LNR  INTEGER
ADR_WEITERE_BEGL.BEGL_NN  VARCHAR(50)
ADR_WEITERE_BEGL.BEGL_VN  VARCHAR(50)
ADR_WEITERE_BEGL.BEGL_GEB  DATE
ADR_WEITERE_BEGL.LAUF  INTEGER
ADR_WEITERE_BEGL.TA_STATUS  INTEGER
ADR_ZUSATZ.LNR  INTEGER
ADR_ZUSATZ.ADR_LNR  INTEGER
ADR_ZUSATZ.ZA_ZIEL  INTEGER
ADR_ZUSATZ.ZA_TEXT  VARCHAR(255)
ADR_ZUSATZ.KOSTENSTELLE  VARCHAR(20)
ADR_ZUSATZ.UNTERSCHRIFT  BLOB
ADR_ZUSATZ.BILDTEMP  BLOB
ANFRAGEN.LNR  INTEGER
ANFRAGEN.ANREDE  VARCHAR(30)
ANFRAGEN.TITEL  VARCHAR(30)
ANFRAGEN.NAME1  VARCHAR(60)
ANFRAGEN.NAME2  VARCHAR(60)
ANFRAGEN.NAMENZUS  VARCHAR(60)
ANFRAGEN.STRASSE  VARCHAR(60)
ANFRAGEN.LAND  VARCHAR(30)
ANFRAGEN.PLZ  VARCHAR(10)
ANFRAGEN.ORT  VARCHAR(50)
ANFRAGEN.TELE1  VARCHAR(30)
ANFRAGEN.TELEFAX  VARCHAR(30)
ANFRAGEN.BEMERK  BLOB
ANFRAGEN.ZUSATZ  VARCHAR(80)
ANFRAGEN.E_MAIL  VARCHAR(100)
ANFRAGEN.VON  DATE
ANFRAGEN.BIS  DATE
