FM_PROT.LNR  INTEGER
FM_PROT.PROVIDER  INTEGER
FM_PROT.GESAMT  INTEGER
FM_PROT.TRANS  INTEGER
FM_PROT.FEHLER  INTEGER
FM_PROT.SEND  INTEGER
FM_PROT.EMPFANGEN  INTEGER
FM_PROT.DATUMZEIT  TIMESTAMP
FM_PROT.PROTOKOLL  BLOB
FREIMELD_PREISLIST.LNR  INTEGER
FREIMELD_PREISLIST.PROVIDER  INTEGER
FREIMELD_PREISLIST.FM_RATEID  VARCHAR(30)
FREIMELD_PREISLIST.UEBTR_DATUM  TIMESTAMP
FREIMELD_PREISLIST.VONDATUM  DATE
FREIMELD_PREISLIST.BISDATUM  DATE
FREIMELD_PREISLIST.MINSTAY  INTEGER
FREIMELD_PREISLIST.MAXSTAY  INTEGER
FREIMELD_PREISLIST.BETRAG  BIGINT
FREIMELD_PREISLIST.B1  BIGINT
FREIMELD_PREISLIST.B2  BIGINT
FREIMELD_PREISLIST.B3  BIGINT
FREIMELD_PREISLIST.B4  BIGINT
FREIMELD_PREISLIST.B5  BIGINT
FREIMELD_PREISLIST.B6  BIGINT
FREIMELD_PREISLIST.KATE_EXTERN  VARCHAR(15)
FREIMELD_VAKANZ.LNR  INTEGER
FREIMELD_VAKANZ.PROVIDER  INTEGER
FREIMELD_VAKANZ.KATE_EXTERN  VARCHAR(20)
FREIMELD_VAKANZ.UEBTR_DATUM  TIMESTAMP
FREIMELD_VAKANZ.DATUM  DATE
FREIMELD_VAKANZ.VERFUEGBAR  INTEGER
FREIMELD_VAKANZ.MINSTAY  INTEGER
FREIMELD_VAKANZ.MAXSTAY  INTEGER
FREIMELD_VAKANZ.BETRAG  BIGINT
HIS_PROT.LNR  INTEGER
HIS_PROT.PROVIDER  INTEGER
HIS_PROT.GESAMT  INTEGER
HIS_PROT.TRANS  INTEGER
HIS_PROT.FEHLER  INTEGER
HIS_PROT.SEND  INTEGER
HIS_PROT.EMPFANGEN  INTEGER
HIS_PROT.DATUMZEIT  TIMESTAMP
HIS_PROT.PROTOKOLL  BLOB
TEMP_RATEBOARD.LNR  INTEGER
TEMP_RATEBOARD.GK_LNR  INTEGER
TEMP_RATEBOARD.DATUM  DATE
TEMP_RATEBOARD.BETRAG  BIGINT
TEMP_RATEBOARD.ERW  INTEGER
TEMP_RATEBOARD.JUG  INTEGER
TEMP_RATEBOARD.KIND  INTEGER
TEMP_RATEBOARD.UEBTR_DATUM  TIMESTAMP
TEMP_RATEBOARD.TA_STATUS  INTEGER
TEMP_RATEBOARD.BK_LNR  INTEGER
TEMP_RATEBOARD.PRL_LNR  INTEGER
TEMP_RATEBOARD.ISROOM  INTEGER
